"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"";59;"";;;
2;"SW12,SW10,SW11";"key 12x12 SMD";3;"Comment";;;
3;"SW5,SW6,SW9,SW3,SW8,SW4,SW2,SW7,SW1";"_Users_Voja_Documents_GitHub_willo-pcb_ESP.PcbLib_key4p";9;"tactile key";;;
4;"LY4,LY3,LY8,LY1,LY2,LY5,LY6,LY7";"_Users_Voja_Desktop_ESP.PcbLib_LED0603";8;"";;;
5;"SW13";"_Users_Voja_Desktop_Projekti_Gio.PcbLib_JOYSTICK 2";1;"Comment";;;
6;"C17,C20,C18,C14,C4,C13,C10,C19,C11,C3";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";10;"100nF";;;
7;"R6,R7,R5";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";3;"4K7";;;
8;"M1";"_Users_Voja_Desktop_Projekti_Gio.PcbLib_PICO";1;"PICO";;;
9;"T1";"SOT-23";1;"DMN65D8L-7";;;
10;"R1";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";1;"22R";;;
11;"C6,C15,C7,C5,C8,C12,C9,C16";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";8;"2u2";;;
12;"R3";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";1;"47K";;;
13;"L1";"0805";1;"100nF";;;
14;"R2,R13,R12";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";3;"2K7";;;
15;"R8";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";1;"82R";;;
16;"C1,C2";"_Users_Voja_Desktop_Projekti_Gio.PcbLib_Tantal";2;"22uF";;;
17;"R9,R11,R10";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";3;"330R";;;
18;"U4";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_MSOP8";1;"TPA321";;;
19;"R4";"_Users_Voja_Desktop_CUBE_ESP.PcbLib_TANTALUM KEMET C";1;"22K";;;
20;"ZD1";"SOT-23";1;"LM4040";;;
21;"U1";"AK4619";1;"AK4619";;;
22;"U2";"TSSOP 14";1;"LMV324";;;
23;"U3";"_Users_Voja_Desktop_Projekti_Gio.PcbLib_TQFN24";1;"TLC59283";;;
